Year,Country,Per-capita_Per-capita territorial,Per-capita_Per-capita consumption
2012,IND,0.412380023240137,0.383293759150338
2013,IND,0.421733525370216,0.376558742479085
2014,IND,0.448529290946247,0.409169223429579
2015,IND,0.460950569628934,0.432269168014342
2016,IND,0.480075737376082,0.444306934907742
2017,IND,0.489060445825301,0.458201137344347
2018,IND,0.516954412552642,0.483500976842065
2019,IND,0.515594137491261,0.482960918525779
2020,IND,0.473295684728698,0.439322330658394
2021,IND,0.518529985475143,0.474612267356201
2022,IND,0.544945967234059,
1950,USA,4.67783623886424,
1951,USA,4.74582478617638,
1952,USA,4.55267191969119,
1953,USA,4.58759495909314,
1954,USA,4.29464673193116,
1955,USA,4.62143233975459,
1956,USA,4.75771078622043,
1957,USA,4.63587514748917,
1958,USA,4.40651913720265,
1959,USA,4.45929051763194,
1960,USA,4.48810013945172,
1961,USA,4.39954164594295,
1962,USA,4.49166029612792,
1963,USA,4.62117286214862,
1964,USA,4.75719678042741,
1965,USA,4.89092166196558,
1966,USA,5.08120699185854,
1967,USA,5.21882051186687,
1968,USA,5.35540794987598,
1969,USA,5.56605104862312,
1970,USA,5.91235428695121,
1971,USA,5.87186521923156,
1972,USA,6.0811903516602,
1973,USA,6.29949293523768,
1974,USA,6.02651678306685,
1975,USA,5.7850635556681,
1976,USA,6.07587359691285,
1977,USA,6.19444724029803,
1978,USA,6.18979558520304,
1979,USA,6.2005264925613,
1980,USA,5.88141441412329,
1981,USA,5.66816794082908,
1982,USA,5.32357298073103,
1983,USA,5.24720630192164,
1984,USA,5.4665458230238,
1985,USA,5.40014472340772,
1986,USA,5.3587435740339,
1987,USA,5.49111379668968,
1988,USA,5.6891982686082,
1989,USA,5.71826050218116,
1990,USA,5.6337477183936,5.55351795168893
1991,USA,5.49296507037791,5.3826430712184
1992,USA,5.53415546295045,5.50634506601975
1993,USA,5.56108744841769,5.49214593604635
1994,USA,5.58214812576893,5.52832332568517
1995,USA,5.57362813183167,5.51937415759644
1996,USA,5.69522956994535,5.62157570559132
1997,USA,5.69921674552862,5.65699856202835
1998,USA,5.67281118589792,5.75033769412496
1999,USA,5.67386539072108,5.85592125120722
2000,USA,5.80853165780475,6.04415737887721
2001,USA,5.6481299330401,5.90545203892849
2002,USA,5.62822707182432,5.95682324970452
2003,USA,5.63472418537548,6.0833982688638
2004,USA,5.67549898728504,6.14436276442475
2005,USA,5.63810723435012,6.18229953441988
2006,USA,5.51098227721769,6.10739139502246
2007,USA,5.52635811139125,5.98531122306119
2008,USA,5.28104385968934,5.63837249300271
2009,USA,4.84853454287503,5.11280064087483
2010,USA,4.98144627674949,5.2323713762159
2011,USA,4.82252556384121,5.05972647812437
2012,USA,4.60613505517542,4.87171497666908
2013,USA,4.68313153275427,4.90399813664079
2014,USA,4.68559119197037,4.94674173715719
2015,USA,4.52046483387848,4.86838895828646
2016,USA,4.38146652181965,4.72160762948027
2017,USA,4.3134360696024,4.66017437932171
2018,USA,4.41903802242406,4.76445142217742
2019,USA,4.29581352901523,4.64157421408455
2020,USA,3.8302547671799,4.21365940382198
2021,USA,4.07546057139594,4.51276067535486
2022,USA,4.08013913145744,
