Year,Country,Population,Deforestation,Harvest,PerCap-Territorial,PerCap-Consumption,Total-Territorial,Total-Consumption,Population-Increase,Deforestation-Increase,Harvest-Increase,PerCap-Territorial-Increase,Total-Territorial-Increase
1964,AGO,5673.199,13.269236666666666,0.41992,0.0588318518616404,,333.76480314960645,,26.685259024640327,-47.83244510592091,63.739163211458774,416.58795626895574,554.4407904894224
1965,AGO,5736.582,12.351873333333335,0.43404,0.0564329704002705,,323.7323622047246,,28.10063186327315,-51.43902800527498,69.24496666103438,395.52397082149844,534.7693376563208
1966,AGO,5787.044,11.886546666666668,0.4432666666666667,0.0732166597482347,,423.70803149606314,,29.227472564771784,-53.26844404757022,72.84271546850024,542.8974004274268,730.800061756984
1967,AGO,5827.503,11.419066666666666,0.4554966666666667,0.0464507373095513,,270.6918110236221,,30.130941470917666,-55.1063258469918,77.61155230903213,307.87244825065693,430.7682569090613
1968,AGO,5868.203,11.364016666666666,0.4928566666666666,0.0776490035262274,,455.66011543961827,,31.03979202283783,-55.322753058975536,92.17931554388657,581.8167160923414,793.4512067443468
1969,AGO,5928.386,10.79911,0.5479466666666667,0.128125549192399,,759.5777120745296,,32.38370732421893,-57.543664501258796,113.66052744453259,1025.0387929110043,1389.36806289123
1970,AGO,6029.7,10.356136666666668,0.58211,0.161949314467342,,976.5057814437321,,34.64609761456875,-59.28519917004128,126.98181629125133,1322.0369193306221,1814.7172185171157
1971,AGO,6177.049,9.893803333333333,0.62032,0.150462897446168,,929.4166902069546,,37.936471569725576,-61.102847023637686,141.88101953546413,1221.1775292883692,1722.3856670724545
1972,AGO,6364.731,9.484783333333334,0.6043999999999999,0.192987133373702,,1228.3111903847357,,42.12750079049899,-62.71089531147761,135.67334312489442,1594.5723389803443,2308.4533144798665
1973,AGO,6578.23,9.48354,0.5683566666666667,0.202204609020489,,1330.1484251968513,,46.89503602353095,-62.71578343440042,121.6189869633597,1675.5087153760915,2508.1341670526417
1974,AGO,6802.494,9.303923333333334,0.5441633333333333,0.195246812971133,,1328.1652737552542,,51.90295887797374,-63.42194028076696,112.18529446170247,1614.4140272516029,2504.245634814216
1975,AGO,7032.713,8.955876666666667,0.5427833333333334,0.171097297582935,,1203.2781889763755,,57.04385974314587,-64.79027397208215,111.64719185827371,1402.3630989786975,2259.368997992886
1976,AGO,7266.78,8.59924,0.5528866666666666,0.123191847485902,,895.208053473603,,62.27068829686318,-66.19237895769233,115.58677879303849,981.7171771407939,1655.309908771765
1977,AGO,7511.895,8.899456666666666,0.5411066666666667,0.128163216689297,,962.7486266322468,,67.74422399794202,-65.01208729270199,110.99341019275519,1025.3695418951784,1787.7424051612625
1978,AGO,7771.59,8.717403333333333,0.5284800000000001,0.189632591393023,,1473.7467509441035,,73.54333810312394,-65.72782381160624,106.0699013478561,1565.1169346171973,2789.6995116550956
1979,AGO,8043.218,8.518906666666666,0.51391,0.186261475466341,,1498.1416521774324,,79.60892183081356,-66.50820673903098,100.38862965803193,1535.5159985289376,2837.53265132829
1980,AGO,8330.047,8.744363333333332,0.5000600000000001,0.174774763771366,,1455.881996629376,,86.01395119092918,-65.6218314839935,94.98810715260545,1434.6540210288401,2754.670581626219
1981,AGO,8631.457,8.4131,0.48694,0.16653484148672,,1437.4383232944397,,92.74458128562829,-66.92418206829454,89.87223312580427,1362.3012991928692,2718.5065162635983
1982,AGO,8947.152,8.146043333333333,0.4674833333333333,0.14139244019403,,1265.059654066896,,99.79420229271507,-67.97410631549413,82.2855063233555,1141.5320850938433,2380.509125621357
1983,AGO,9276.707,8.037533333333334,0.4539766666666666,0.150060508008019,,1392.067365061546,,107.15332375802333,-68.4007097082708,77.01885958641486,1217.6442470458442,2629.5438530618467
1984,AGO,9617.702,7.918113333333333,0.4611966666666667,0.141485573889333,,1360.7660869665856,,114.76790591900642,-68.87020539682844,79.83415001884664,1142.3498690627976,2568.168797973689
1985,AGO,9970.621,8.12372,0.4740499999999999,0.127999254304996,,1276.2320529577335,,122.64875672817372,-68.06186974502214,84.84604286624122,1023.9298287069852,2402.415790113195
1986,AGO,10332.574,7.90576,0.4854633333333333,0.12239875440402,,1264.6941873873625,,130.73134109719476,-68.91877210876375,89.29643734484061,974.7532227294319,2379.7925242889382
1987,AGO,10694.057,8.113093333333333,0.4881266666666666,0.147666720106036,,1579.156321816995,,138.8034301404319,-68.10364812539174,90.33494937416329,1196.624986884954,2996.3849447391963
1988,AGO,11060.261,8.151673333333333,0.4950733333333333,0.124597930015585,,1378.0856260321043,,146.98094138159576,-67.95197216102605,93.04365909770334,994.0636404488446,2602.1286784943136
1989,AGO,11439.498,8.396646666666667,0.5091033333333334,0.117447919065011,,1343.545235248355,,155.44948577369752,-66.98886779147661,98.51436889922928,931.2811607651483,2534.4024220555903
1990,AGO,11828.638,9.136696666666666,0.5287366666666667,0.117439979483404,,1389.155004036613,,164.139168913113,-64.0793862614391,106.1699832330349,931.2114452606008,2623.8333412482525
1991,AGO,12228.691,9.770013333333331,0.55597,0.11302198411317,,1382.1109199268649,,173.07254458503715,-61.58952321930467,116.78906117992646,892.4181194193146,2610.0214116212956
