Year,Country,Per-capita_Per-capita territorial,Per-capita_Per-capita consumption
1966,DZA,0.182208768693343,
1967,DZA,0.178427302172013,
1968,DZA,0.187252466529078,
1969,DZA,0.227851936403548,
1970,DZA,0.297912687214746,
1971,DZA,0.360725712429982,
1972,DZA,0.535326385906196,
1973,DZA,0.706516809228613,
1974,DZA,0.574118410247529,
1975,DZA,0.555429250969572,
1976,DZA,0.647245050399509,
1977,DZA,0.666535947395943,
1978,DZA,0.966709834636157,
1979,DZA,0.684238864774178,
1980,DZA,0.967308793874401,
1981,DZA,0.653593485625694,
1982,DZA,0.534563880995335,
1983,DZA,0.692853332269905,
1984,DZA,0.905093080747065,
1985,DZA,0.895358539128175,
1986,DZA,0.907429258026904,
1987,DZA,0.970655087909986,
1988,DZA,0.942377763462953,
1989,DZA,0.875137140596796,
1990,DZA,0.820738895073851,
1991,DZA,0.823008095182141,
1992,DZA,0.815087676824693,
1993,DZA,0.817589869141154,
1994,DZA,0.865644387458327,
1995,DZA,0.927484164809866,
1996,DZA,0.94199354753092,
1997,DZA,0.818233965309951,
1998,DZA,0.971658958782498,
1999,DZA,0.822472426759159,
2000,DZA,0.757360338555441,
2001,DZA,0.759612856729245,
2002,DZA,0.78268857045964,
2003,DZA,0.805265141061711,
2004,DZA,0.769948717730078,
2005,DZA,0.919167467593102,
2006,DZA,0.864415320553266,
2007,DZA,0.882527441422694,
2008,DZA,0.877031347536626,
2009,DZA,0.92166500475797,
2010,DZA,0.900863012205556,
2011,DZA,0.934269895793167,
2012,DZA,0.993785559234261,
2013,DZA,1.01114729964774,
2014,DZA,1.06524232170303,
2015,DZA,1.10491919678342,
2016,DZA,1.07224682894975,
2017,DZA,1.09530846391616,
2018,DZA,1.11492904994671,
2019,DZA,1.14126920086869,
2020,DZA,1.06711927999824,
2021,DZA,1.11679092035265,
2022,DZA,1.07539756023617,
1950,AND,0.0,
1951,AND,0.0,
1952,AND,0.0,
1953,AND,0.0,
1954,AND,0.0,
1955,AND,0.0,
1956,AND,0.0,
1957,AND,0.0,
1958,AND,0.0,
1959,AND,0.0,
1960,AND,0.0,
1961,AND,0.0,
1962,AND,0.0,
1963,AND,0.0,
1964,AND,0.0,
1965,AND,0.0,
1966,AND,0.0,
1967,AND,0.0,
1968,AND,0.0,
1969,AND,0.0,
1970,AND,0.0,
1971,AND,0.0,
1972,AND,0.0,
1973,AND,0.0,
1974,AND,0.0,
1975,AND,0.0,
1976,AND,0.0,
1977,AND,0.0,
1978,AND,0.0,
1979,AND,0.0,
1980,AND,0.0,
1981,AND,0.0,
1982,AND,0.0,
1983,AND,0.0,
1984,AND,0.0,
1985,AND,0.0,
1986,AND,0.0,
1987,AND,0.0,
1988,AND,0.0,
1989,AND,0.0,
1990,AND,2.07209393492505,
1991,AND,2.00238121008767,
1992,AND,1.93774767382993,
1993,AND,1.89329907363581,
1994,AND,1.81856906466569,
1995,AND,1.84337655733537,
1996,AND,1.93306000280605,
1997,AND,1.96345196499799,
1998,AND,2.05565612248029,
1999,AND,2.13235854085751,
2000,AND,2.1634869963841,
2001,AND,2.1085225597169,
2002,AND,2.04660616240173,
2003,AND,1.97545564019646,
2004,AND,1.98874345209468,
2005,AND,1.96677774158795,
2006,AND,1.85736901808753,
2007,AND,1.88056493705864,
2008,AND,1.932811780948,
2009,AND,1.90922385311163,
2010,AND,1.97150407583999,
2011,AND,1.89890458712996,
2012,AND,1.87289651190627,
2013,AND,1.8215701935068,
2014,AND,1.75926055207272,
2015,AND,1.77013352660776,
2016,AND,1.76454370002757,
2017,AND,1.72000487560437,
2018,AND,1.79968805407063,
2019,AND,1.72903868069109,
2020,AND,1.31274131274131,
2021,AND,1.26563348035731,
2022,AND,1.27269824615287,
1950,AGO,0.0113885449994909,
1951,AGO,0.0148805029960142,
1952,AGO,0.0182248639460304,
1953,AGO,0.0157537102498733,
1954,AGO,0.0195758514912284,
1955,AGO,0.0228667880430956,
1956,AGO,0.0272599971775512,
1957,AGO,0.0330805574696672,
1958,AGO,0.031202947983331,
1959,AGO,0.0320363155529591,
1960,AGO,0.0279666423243824,
1961,AGO,0.0227569789176464,
1962,AGO,0.0582848629108577,
1963,AGO,0.056035505000113,
1964,AGO,0.0588318518616404,
1965,AGO,0.0564329704002705,
1966,AGO,0.0732166597482347,
1967,AGO,0.0464507373095513,
1968,AGO,0.0776490035262274,
1969,AGO,0.128125549192399,
1970,AGO,0.161949314467342,
1971,AGO,0.150462897446168,
1972,AGO,0.192987133373702,
1973,AGO,0.202204609020489,
1974,AGO,0.195246812971133,
1975,AGO,0.171097297582935,
1976,AGO,0.123191847485902,
1977,AGO,0.128163216689297,
1978,AGO,0.189632591393023,
1979,AGO,0.186261475466341,
1980,AGO,0.174774763771366,
1981,AGO,0.16653484148672,
1982,AGO,0.14139244019403,
1983,AGO,0.150060508008019,
1984,AGO,0.141485573889333,
1985,AGO,0.127999254304996,
1986,AGO,0.12239875440402,
1987,AGO,0.147666720106036,
1988,AGO,0.124597930015585,
1989,AGO,0.117447919065011,
1990,AGO,0.117439979483404,
1991,AGO,0.11302198411317,
1992,AGO,0.111578095000252,
1993,AGO,0.120329106929221,
1994,AGO,0.230172840250052,
1995,AGO,0.247509082020289,
1996,AGO,0.289350753864624,
1997,AGO,0.291518953675364,
1998,AGO,0.293287126881492,
1999,AGO,0.296838306741674,
2000,AGO,0.266284033289799,
2001,AGO,0.256282306250759,
2002,AGO,0.250548750093468,
2003,AGO,0.263289605109861,
2004,AGO,0.247402294138271,
2005,AGO,0.215899855079085,
2006,AGO,0.232079625831508,
2007,AGO,0.22956833154196,
2008,AGO,0.235917090314145,
2009,AGO,0.250622082974411,
2010,AGO,0.268476746914133,
2011,AGO,0.263226980739991,
2012,AGO,0.281081237705247,
2013,AGO,0.268361578377481,
2014,AGO,0.249176729773545,
2015,AGO,0.252574863478058,
2016,AGO,0.224602459958737,
2017,AGO,0.204337959083465,
2018,AGO,0.187059638380069,
2019,AGO,0.162152838723745,
2020,AGO,0.136875536598924,
2021,AGO,0.139236510831534,
2022,AGO,0.123928879026381,
1950,AIA,0.0,
1951,AIA,0.0,
1952,AIA,0.0,
1953,AIA,0.0,
1954,AIA,0.0,
1955,AIA,0.0,
1956,AIA,0.0,
1957,AIA,0.0,
1958,AIA,0.0,
1959,AIA,0.0,
1960,AIA,0.0,
1961,AIA,0.0,
1962,AIA,0.0,
1963,AIA,0.0,
1964,AIA,0.0,
1965,AIA,0.0,
1966,AIA,0.0,
1967,AIA,0.0,
1968,AIA,0.0,
1969,AIA,0.0,
1970,AIA,0.0,
1971,AIA,0.0,
1972,AIA,0.0,
1973,AIA,0.0,
1974,AIA,0.0,
1975,AIA,0.0,
1976,AIA,0.0,
1977,AIA,0.0,
1978,AIA,0.0,
1979,AIA,0.0,
1980,AIA,0.0,
1981,AIA,0.0,
1982,AIA,0.0,
1983,AIA,0.0,
1984,AIA,0.0,
1985,AIA,0.0,
1986,AIA,0.0,
1987,AIA,0.0,
1988,AIA,0.0,
1989,AIA,0.0,
1990,AIA,1.56325156325156,
1991,AIA,1.50864570035975,
1992,AIA,1.46281084730505,
1993,AIA,1.64455651792567,
1994,AIA,1.60324925181702,
1995,AIA,1.66649307363816,
1996,AIA,1.72361350501876,
1997,AIA,1.67785234899329,
1998,AIA,1.72811059907834,
1999,AIA,1.67879127028539,
2000,AIA,1.90096858875713,
2001,AIA,2.02750352609309,
2002,AIA,1.98961937716263,
2003,AIA,2.04359673024523,
2004,AIA,2.34623764035529,
2005,AIA,2.47361477572559,
2006,AIA,2.67748478701826,
2007,AIA,2.71478760779304,
2008,AIA,2.67085624509034,
2009,AIA,2.62629383593388,
2010,AIA,2.73307014880049,
2011,AIA,2.54853459260925,
2012,AIA,2.45261984392419,
2013,AIA,2.33576642335766,
2014,AIA,2.3371104815864,
2015,AIA,2.61617900172117,
2016,AIA,2.56531425099575,
2017,AIA,2.33100233100233,
2018,AIA,2.37138528423688,
2019,AIA,2.60078023407022,
2020,AIA,2.50240615976901,
2021,AIA,2.40838208049387,
2022,AIA,2.41513845259261,
1950,ATG,0.0,
1951,ATG,0.0,
1952,ATG,0.0,
1953,ATG,0.0,
1954,ATG,0.0,
1955,ATG,0.0,
1956,ATG,0.0,
1957,ATG,0.114843525696239,
1958,ATG,0.150198073709705,
1959,ATG,0.147332363395274,
1960,ATG,0.180694590003975,
1961,ATG,0.231131656147213,
1962,ATG,0.491159135559921,
1963,ATG,0.398075392017723,
1964,ATG,0.426155734351561,
1965,ATG,0.687411977734558,
1966,ATG,1.56726882784789,
1967,ATG,2.49931025528669,
1968,ATG,4.30910657856938,
1969,ATG,5.3810674280694,
1970,ATG,1.95297363485593,
1971,ATG,1.79098025289876,
1972,ATG,1.57662879666126,
1973,ATG,1.39614972930208,
1974,ATG,1.82191908810614,
1975,ATG,3.01397673147497,
1976,ATG,1.71901859665573,
1977,ATG,1.98075393421401,
1978,ATG,2.08304186292341,
1979,ATG,1.71802690027705,
1980,ATG,0.601026368105534,
1981,ATG,0.445632798573975,
1982,ATG,1.22641075562233,
1983,ATG,0.351638943248532,
1984,ATG,0.61197637771182,
1985,ATG,1.04538187184848,
1986,ATG,1.05080974162443,
1987,ATG,1.16544683231551,
1988,ATG,1.21909286986965,
1989,ATG,1.22572128983594,
1990,ATG,1.0421930267812,
1991,ATG,1.06861111984159,
1992,ATG,1.05167107440573,
1993,ATG,1.06328037184434,
1994,ATG,1.08838263358779,
1995,ATG,1.08190297961929,
1996,ATG,1.13183758846958,
1997,ATG,1.19351849251594,
1998,ATG,1.21258887725294,
1999,ATG,1.27335040164723,
2000,ATG,1.29238558390514,
2001,ATG,1.32519845174834,
2002,ATG,1.43791696353391,
2003,ATG,1.4985590778098,
2004,ATG,1.55812568880556,
2005,ATG,1.64018580425447,
2006,ATG,1.74300018542555,
2007,ATG,1.78014046039797,
2008,ATG,1.76574455562095,
2009,ATG,1.79809307497575,
2010,ATG,1.75039383861369,
2011,ATG,1.71799513426881,
2012,ATG,1.73369528024272,
2013,ATG,1.71757234708521,
2014,ATG,1.73696714330539,
2015,ATG,1.76782557454331,
2016,ATG,1.79983216289033,
2017,ATG,1.81081881934613,
2018,ATG,1.83354069805514,
2019,ATG,1.89975791656263,
2020,ATG,1.82379349046016,
2021,ATG,1.76362529056043,
2022,ATG,1.76992010265561,
1950,ARG,0.47986768217833,
1951,ARG,0.549841196675631,
1952,ARG,0.556763342622858,
1953,ARG,0.53176473441365,
1954,ARG,0.546027690774699,
1955,ARG,0.577355290602709,
1956,ARG,0.635258213128324,
1957,ARG,0.671014878182242,
1958,ARG,0.612391947126912,
1959,ARG,0.667151364194076,
1960,ARG,0.654017486666999,
1961,ARG,0.674727072529717,
1962,ARG,0.696456807706484,
1963,ARG,0.639168278536005,
1964,ARG,0.699900852499647,
1965,ARG,0.727741235522619,
1966,ARG,0.768382208440625,
1967,ARG,0.785256023375426,
1968,ARG,0.814884135225487,
1969,ARG,0.898226895877668,
1970,ARG,0.946061958304055,
1971,ARG,1.0010440942488,
1972,ARG,0.998728814897477,
1973,ARG,1.02509366239378,
1974,ARG,1.02394133133355,
1975,ARG,1.00039485122036,
1976,ARG,1.03500198147965,
1977,ARG,1.02887821015132,
1978,ARG,1.03108890610563,
1979,ARG,1.09446958773781,
1980,ARG,1.05817184020638,
1981,ARG,0.977470538455942,
1982,ARG,0.975259141901485,
1983,ARG,0.976813044288149,
1984,ARG,0.973894471288522,
1985,ARG,0.905915324490686,
1986,ARG,0.924448247848008,
1987,ARG,1.00437277109894,
1988,ARG,1.04555550623852,
1989,ARG,0.992915514303328,
1990,ARG,0.937238562877172,0.944394797338977
1991,ARG,0.968723934203418,0.9990892394377
1992,ARG,0.985661012519984,1.04356675781549
1993,ARG,0.944669920119637,0.992577899027884
1994,ARG,0.937505909567402,0.982520621012211
1995,ARG,0.978110710268722,1.002440355941
1996,ARG,1.01132305006753,1.03585397966811
1997,ARG,1.04034167088835,1.09434163751743
1998,ARG,1.04705211188189,1.1106570383706
1999,ARG,1.09960670356745,1.11164974146802
2000,ARG,1.0510787719419,1.04170569611794
2001,ARG,0.978837249468834,0.946504378256287
2002,ARG,0.896577703201477,0.590006321830091
2003,ARG,0.955384555276902,0.801084836526262
2004,ARG,1.10608192091095,0.939560539295275
2005,ARG,1.12598192570268,0.980889221678828
2006,ARG,1.20441153424651,1.0431321853453
2007,ARG,1.18737074565137,1.06805452001384
2008,ARG,1.26890444199331,1.17052088560367
2009,ARG,1.19483496504361,1.05770014788809
2010,ARG,1.23416751513548,1.14090776282709
2011,ARG,1.24678645292557,1.2471166920959
2012,ARG,1.24447206079988,1.23445985054919
2013,ARG,1.22037854059894,1.27787683628789
2014,ARG,1.20068659602265,1.1805349393451
2015,ARG,1.20978697842052,1.26150245990686
2016,ARG,1.18699951115735,1.17035351813305
2017,ARG,1.15787003051751,1.1831072588835
2018,ARG,1.10980000713409,1.091695625804
2019,ARG,1.08883345057597,1.01884315899743
2020,ARG,1.01131771728904,0.955586114965313
2021,ARG,1.1486317809854,1.0674395240257
2022,ARG,1.1617562934571,
1950,ARM,0.291718139959192,
1951,ARM,0.307181022978779,
1952,ARM,0.319664230510857,
1953,ARM,0.328334468284825,
1954,ARM,0.347584077895203,
1955,ARM,0.381937087132795,
1956,ARM,0.405740847193204,
1957,ARM,0.429368682919272,
1958,ARM,0.442973492390528,
1959,ARM,0.449657337903466,
1960,ARM,0.452050185963021,
1961,ARM,0.450760708514791,
1962,ARM,0.458046803170706,
1963,ARM,0.476269530036843,
1964,ARM,0.491900835588401,
1965,ARM,0.507328125820258,
1966,ARM,0.52163176831764,
1967,ARM,0.532033593073065,
1968,ARM,0.533894859855639,
1969,ARM,0.543012650780547,
1970,ARM,0.557918182321999,
1971,ARM,0.580193194413513,
1972,ARM,0.597996039976764,
1973,ARM,0.610572146039478,
1974,ARM,0.620810095987124,
1975,ARM,0.638722202400607,
1976,ARM,0.648485292085466,
1977,ARM,0.655156546903338,
1978,ARM,0.661885923505256,
1979,ARM,0.654668123438384,
1980,ARM,0.672037078229188,
1981,ARM,0.653525456997294,
1982,ARM,0.658866521935246,
1983,ARM,0.661237307661121,
1984,ARM,0.660597658843553,
1985,ARM,0.705640714742413,
1986,ARM,0.661496446509612,
1987,ARM,0.666934135023823,
1988,ARM,0.753093745759572,
1989,ARM,0.74895960594397,
1990,ARM,0.686627012190974,0.461499535606004
1991,ARM,0.551324049782125,0.344671455387192
1992,ARM,0.437017919500227,0.276363549931106
1993,ARM,0.198160818102179,0.142695668425513
1994,ARM,0.217186363700654,0.144305971818903
1995,ARM,0.276204041281237,0.220389383986391
1996,ARM,0.206856839929926,0.230714010850981
1997,ARM,0.271369251728528,0.340233227103331
1998,ARM,0.287963120278486,0.339642167259914
1999,ARM,0.258809159400946,0.440272875419659
2000,ARM,0.300737890676756,0.366974875784302
2001,ARM,0.307731947570479,0.3888713303402
2002,ARM,0.270443207465321,0.389803455573225
2003,ARM,0.305797718010555,0.350859528721684
2004,ARM,0.328606182839321,0.377091179885283
2005,ARM,0.391950393423751,0.517018603953406
2006,ARM,0.396931396481094,0.462357812567093
2007,ARM,0.463314446263001,0.918330322009657
2008,ARM,0.509986294579511,0.597214143146494
2009,ARM,0.401736439452746,0.541931116407464
2010,ARM,0.393947595730677,0.490508242351455
2011,ARM,0.463006465511329,0.491875630902501
2012,ARM,0.538304544837206,0.610397281875119
2013,ARM,0.520663475032286,0.568006094431963
2014,ARM,0.529253902678013,0.549550494315549
2015,ARM,0.518558273942975,0.55800174705314
2016,ARM,0.495505287476606,0.525787592915181
2017,ARM,0.530186290802446,0.554841030604798
2018,ARM,0.560541209253303,0.684520109576467
2019,ARM,0.60806011886765,0.670024815172901
2020,ARM,0.66139971561105,0.723622004739507
2021,ARM,0.69231710872028,0.762793477467629
2022,ARM,0.630578552843708,
1950,ABW,2.88127272832957,
1951,ABW,4.38218151224514,
1952,ABW,2.43773620888161,
1953,ABW,2.72051894453154,
1954,ABW,5.3110825129962,
1955,ABW,4.24234188018098,
1956,ABW,5.30074314414454,
1957,ABW,3.5001710019441,
1958,ABW,2.96718265013634,
1959,ABW,3.70135834281387,
1960,ABW,3.0915101177529,
1961,ABW,3.15686741156871,
1962,ABW,3.41358121587735,
1963,ABW,3.22471590599458,
1964,ABW,3.09749648220437,
1965,ABW,2.7504623275422,
1966,ABW,2.54989204436986,
1967,ABW,3.12881766730993,
1968,ABW,2.91191101009052,
1969,ABW,3.81997222592296,
1970,ABW,4.2886156349193,
1971,ABW,3.75087760663889,
1972,ABW,3.63460332321297,
1973,ABW,3.99727794941414,
1974,ABW,3.58310389092531,
1975,ABW,2.56546090748122,
1976,ABW,5.43740635839547,
1977,ABW,2.82743276494744,
1978,ABW,2.39730078409822,
1979,ABW,2.50394608736887,
1980,ABW,2.56604914693732,
1981,ABW,2.43060984781981,
1982,ABW,2.69599772252876,
1983,ABW,1.37324190143542,
1984,ABW,3.40292440973938,
1985,ABW,3.96419933383363,
1986,ABW,0.759066193670317,
1987,ABW,1.89294026377036,
1988,ABW,2.59590872349686,
1989,ABW,2.7401077466097,
1990,ABW,2.02398344290236,
1991,ABW,2.1366261935636,
1992,ABW,2.09425575564167,
1993,ABW,2.44610281923715,
